transaction_id,date,amount,merchant_raw,description,category_hint,merchant_clean,merchant_extracted,merchant_normalized,normalized_id,merchant_canonical,canonical_id,category,category_confidence,confidence_level,status,method,evidence,fingerprint,transaction_type
txn_031,2026-01-17,-24.03,ATM FEE,Purchase,fees,Atm Fee,Atm Fee,Atm Fee,atmfee,Atm Fee,atmfee,fees,0.481,low,suggested,zero-shot-weak,"{'input_text': 'Atm Fee. Purchase. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'fees': 0.481, 'shopping': 0.1695, 'transfer': 0.0609, 'income': 0.057, 'utilities': 0.0457, 'subscriptions': 0.0433, 'entertainment': 0.0312, 'food and dining': 0.0237, 'transportation': 0.0236, 'travel': 0.0234, 'healthcare': 0.0215, 'groceries': 0.0191}, 'top_3': [{'category': 'fees', 'score': 0.481}, {'category': 'shopping', 'score': 0.1695}, {'category': 'transfer', 'score': 0.0609}], 'margin_to_second': 0.3115}",24.03_20260117_atmfee,repeat
txn_034,2026-01-19,-3.997589108835153,GITHUB.COM *PRO PLAN,Recurring Payment,subscriptions,Github.Com *Pro Plan,Github,Github,github,Github,github,subscriptions,0.2034,low,uncategorized,zero-shot-failed,"{'input_text': 'Github. Recurring Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'subscriptions': 0.2034, 'fees': 0.1738, 'transfer': 0.1722, 'income': 0.1466, 'healthcare': 0.0567, 'shopping': 0.0527, 'utilities': 0.0416, 'travel': 0.04, 'entertainment': 0.0345, 'transportation': 0.0331, 'food and dining': 0.0246, 'groceries': 0.0209}, 'top_3': [{'category': 'subscriptions', 'score': 0.2034}, {'category': 'fees', 'score': 0.1738}, {'category': 'transfer', 'score': 0.1722}], 'margin_to_second': 0.0296}",4.00_20260119_github,recurring
txn_036,2026-01-21,-7.94,SQ *SQ *STARBUCKS SAN FRANCISCO,Purchase,food and dining,Sq *Starbucks San Francisco,Starbucks San,Starbucks San,starbuckssan,Starbucks,starbucks,food and dining,0.3878,low,suggested,zero-shot-weak,"{'input_text': 'Starbucks. Purchase. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'food and dining': 0.3878, 'shopping': 0.3385, 'entertainment': 0.1338, 'income': 0.0284, 'travel': 0.0242, 'fees': 0.0187, 'transfer': 0.0183, 'subscriptions': 0.0164, 'transportation': 0.0112, 'utilities': 0.009, 'groceries': 0.0076, 'healthcare': 0.0061}, 'top_3': [{'category': 'food and dining', 'score': 0.3878}, {'category': 'shopping', 'score': 0.3385}, {'category': 'entertainment', 'score': 0.1338}], 'margin_to_second': 0.0492}",7.94_20260121_starbucks,repeat
txn_038,2026-01-24,-196.35,ONLINE PAYMENT - THANK YOU,Debit Card,transfer,Thank You,You,Thank You,thankyou,Thank You,thankyou,fees,0.4037,low,suggested,zero-shot-weak,"{'input_text': 'Thank You. Debit Card. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'fees': 0.4037, 'transfer': 0.2354, 'income': 0.1338, 'shopping': 0.0501, 'subscriptions': 0.0412, 'healthcare': 0.0276, 'travel': 0.0263, 'utilities': 0.0225, 'transportation': 0.0182, 'food and dining': 0.0154, 'entertainment': 0.0138, 'groceries': 0.0118}, 'top_3': [{'category': 'fees', 'score': 0.4037}, {'category': 'transfer', 'score': 0.2354}, {'category': 'income', 'score': 0.1338}], 'margin_to_second': 0.1683}",196.35_20260124_thankyou,one-time
txn_040,2026-01-30,-7.52,STARBUCKS COFFEE #5678,Purchase,food and dining,Starbucks Coffee,Starbucks Coffee,Starbucks Coffee,starbuckscoffee,Starbucks Coffee,starbuckscoffee,food and dining,0.4148,low,suggested,zero-shot-weak,"{'input_text': 'Starbucks Coffee. Purchase. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'food and dining': 0.4148, 'shopping': 0.3104, 'entertainment': 0.0979, 'income': 0.039, 'transfer': 0.0249, 'fees': 0.0214, 'travel': 0.0209, 'subscriptions': 0.0178, 'transportation': 0.0151, 'utilities': 0.015, 'groceries': 0.0131, 'healthcare': 0.0096}, 'top_3': [{'category': 'food and dining', 'score': 0.4148}, {'category': 'shopping', 'score': 0.3104}, {'category': 'entertainment', 'score': 0.0979}], 'margin_to_second': 0.1044}",7.52_20260130_starbuckscoffee,repeat
txn_042,2026-02-01,-345.8,DELTA AIR 8744 FLIGHT,Bill Payment,travel,Delta Air 8744 Flight,Delta Air 8744 Flight,Delta Air 8744 Flight,deltaair8744flight,Delta Air 8744 Flight,deltaair8744flight,transportation,0.413,low,suggested,zero-shot-weak,"{'input_text': 'Delta Air 8744 Flight. Bill Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'transportation': 0.413, 'travel': 0.361, 'fees': 0.0818, 'transfer': 0.0437, 'income': 0.0341, 'subscriptions': 0.0196, 'entertainment': 0.0102, 'utilities': 0.0098, 'food and dining': 0.0079, 'shopping': 0.0076, 'healthcare': 0.0073, 'groceries': 0.0041}, 'top_3': [{'category': 'transportation', 'score': 0.413}, {'category': 'travel', 'score': 0.361}, {'category': 'fees', 'score': 0.0818}], 'margin_to_second': 0.052}",345.80_20260201_deltaair8744flight,repeat
txn_043,2026-02-01,-426.41,ONLINE PAYMENT - THANK YOU,Debit Card,transfer,Thank You,You,Thank You,thankyou,Thank You,thankyou,fees,0.4037,low,suggested,zero-shot-weak,"{'input_text': 'Thank You. Debit Card. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'fees': 0.4037, 'transfer': 0.2354, 'income': 0.1338, 'shopping': 0.0501, 'subscriptions': 0.0412, 'healthcare': 0.0276, 'travel': 0.0263, 'utilities': 0.0225, 'transportation': 0.0182, 'food and dining': 0.0154, 'entertainment': 0.0138, 'groceries': 0.0118}, 'top_3': [{'category': 'fees', 'score': 0.4037}, {'category': 'transfer', 'score': 0.2354}, {'category': 'income', 'score': 0.1338}], 'margin_to_second': 0.1683}",426.41_20260201_thankyou,repeat
txn_044,2026-02-06,-6.47,SQ * STARBUCKS #1234 NEW YORK,Purchase,food and dining,Starbucks New York,Starbucks,Starbucks,starbucks,Starbucks,starbucks,food and dining,0.3878,low,suggested,zero-shot-weak,"{'input_text': 'Starbucks. Purchase. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'food and dining': 0.3878, 'shopping': 0.3385, 'entertainment': 0.1338, 'income': 0.0284, 'travel': 0.0242, 'fees': 0.0187, 'transfer': 0.0183, 'subscriptions': 0.0164, 'transportation': 0.0112, 'utilities': 0.009, 'groceries': 0.0076, 'healthcare': 0.0061}, 'top_3': [{'category': 'food and dining', 'score': 0.3878}, {'category': 'shopping', 'score': 0.3385}, {'category': 'entertainment', 'score': 0.1338}], 'margin_to_second': 0.0492}",6.47_20260206_starbucks,repeat
txn_048,2026-02-14,-79.35,TARGET 5808 MINNEAPOLIS,Bill Payment,shopping,Target 5808 Minneapolis,Target 5808,Target 5808,target5808,Target 2588,target2588,fees,0.384,low,suggested,zero-shot-weak,"{'input_text': 'Target 2588. Bill Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'fees': 0.384, 'transfer': 0.1484, 'income': 0.1429, 'subscriptions': 0.0844, 'healthcare': 0.0562, 'shopping': 0.0423, 'utilities': 0.0416, 'transportation': 0.0276, 'travel': 0.022, 'entertainment': 0.0188, 'food and dining': 0.0175, 'groceries': 0.0145}, 'top_3': [{'category': 'fees', 'score': 0.384}, {'category': 'transfer', 'score': 0.1484}, {'category': 'income', 'score': 0.1429}], 'margin_to_second': 0.2356}",79.35_20260214_target2588,repeat
txn_050,2026-02-15,-15.484372759496072,NETFLIX.COM 4257 CA,Recurring Payment,entertainment,Netflix.Com 4257,Netflix,Netflix,netflix,Netflix,netflix,subscriptions,0.4674,low,suggested,zero-shot-weak,"{'input_text': 'Netflix. Recurring Payment. This is an expense.', 'hypothesis_template': 'This bank transaction belongs to the {} spending category.', 'all_scores': {'subscriptions': 0.4674, 'entertainment': 0.4314, 'transfer': 0.023, 'income': 0.0167, 'fees': 0.0166, 'food and dining': 0.0104, 'shopping': 0.0077, 'travel': 0.0067, 'utilities': 0.0064, 'transportation': 0.005, 'healthcare': 0.0047, 'groceries': 0.004}, 'top_3': [{'category': 'subscriptions', 'score': 0.4674}, {'category': 'entertainment', 'score': 0.4314}, {'category': 'transfer', 'score': 0.023}], 'margin_to_second': 0.036}",15.48_20260215_netflix,repeat
